param,Central
beta_h,5
beta_v,0.25
beta_v_amp,2
beta_v_mask,1
beta_control_mid,0.5
beta_control_grad,100
beta_control_base,0.6
beta_control_mask,1
m_density,5
at_risk,1
rep,0.08
repA,0.08
repvol,0.1
repvolA,0.05
npop,342000
npopC,148462
npopA,233240
inf0,10
vec0,0.0005
